year,artist,title,track_id
2000,OL DIRTY BASTARD,Got Your Money,6YYd5MLpu45J0uLrMdivF7
2000,SHEDAISY,This Woman Needs,4vYKeidaDqMW4dEuJDklxV
2000,JAY-Z,Anything,1xixUOjgdqMOPZxursTms3
2000,R.E.M.,The Great Beyond,7w57O4o0xCTn9YpKuaPZDd
2000,ENRIQUE IGLESIAS,Rhythm Divine,067sYyLu6IdRP5bCubdSfl
2000,CLINT BLACK,Been There,5KPqPP8RLsmAMHu0BN0Pw1
2000,ANGIE STONE,No More Rain,6mZI2vbLv1UvlclwDQ4uvc
2000,SISQO,Got To Get It,5z17Oquw4RhTv8VaqOvDt0
2000,BLINK 182,All The Small Things,2m1hi0nfMR9vdGC8UcrnwU
2000,CHELY WRIGHT,It Was,1fC89py9z6DXa2mWvsGaJZ
2000,N SYNC,Bye Bye Bye,62bOmKYxYg7dhrC6gH9vFn
2000,TRACY LAWRENCE,Lessons Learned,7CCvEN547vCLqIfXvrPl3G
2000,TOBY KEITH,How Do You Like Me Now?,7rDcULv8vV16vetBjPJhuE
2000,LIMP BIZKIT,Re-Arranged,6IPJ7LeWIOhxPW8Sq3nIGc
2000,DMX,Whats My Name,6OQrmEIK8KOOVcSoSaEo40
2000,ROBBIE WILLIAMS,Angels,7fH9ZS8gezOtky5bkYHvCN
2000,TRACY BYRD,Put Your Hand In Mine,4WMQQm6fiuF9MjCegwDDmf
2000,LFO,Girl On TV,4DJwdQDai9DLYBL9TNrEDo
2000,JAY-Z,Do It Again,4EIzsbsVOzfLwyIvfsRQ8H
2000,TRACIE SPENCER,Still In My Heart,6zAmV2YJovLGTBO2bk5HGG
2000,JUVENILE,U Understand,5V6r4UQ0z7gxkkREnza5Y0
2000,RAGE AGAINST THE MACHINE,Guerrilla Radio,1wsRitfRRtWyEapl0q22o8
2000,ALAN JACKSON,Pop A Top,3KIUKvwteP1HFA5UcvvL11
2000,SAVAGE GARDEN,I Knew I Loved You,6nozDLxeL0TE4MS9GqYU1v
2000,MARIAH CAREY,Thank God I Found You,1RS3LStQYhju50eBdD9Uul
2000,AMEL LARRIEUX,Get Up,5YzK2kmIM7cdpRbv0iGaEs
